 2017-04-27 11:12:48,336 [P1088/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.13 application starting on DESKTOP-PQICMNF
 2017-04-27 11:12:48,358 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-27 11:12:48,373 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 15ms)
 2017-04-27 11:12:48,426 [P1088/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-27 11:12:48,428 [P1088/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-27 11:12:48,433 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-27 11:12:48,942 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 509ms)
 2017-04-27 11:12:48,958 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-27 11:12:48,969 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 10ms)
 2017-04-27 11:12:48,970 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-27 11:12:48,978 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 8ms)
 2017-04-27 11:12:48,993 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-27 11:12:49,005 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 12ms)
 2017-04-27 11:12:49,006 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-27 11:12:49,016 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 10ms)
 2017-04-27 11:12:49,058 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-27 11:12:49,067 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2017-04-27 11:12:49,068 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-27 11:12:49,071 [P1088/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 3ms)
 2017-04-27 11:12:50,092 [P1088/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1904ms)
 2017-04-27 11:12:50,425 [P1088/D2/T12] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:55810/umbraco (UmbracoModule request)
